timestamp,long,lat,individual-local-identifier
2008-09-11 20:07:00,-1.393,55.94616,gp13-902-08
2008-09-12 05:09:04,-1.34087,55.98007,gp13-902-08
2008-09-12 05:38:20,-1.33821,56.0027,gp13-902-08
2008-09-12 06:07:08,-1.33232,56.02768,gp13-902-08
2008-09-12 06:37:00,-1.31066,56.05596,gp13-902-08
2008-09-12 07:07:12,-1.29683,56.05973,gp13-902-08
2008-09-12 11:40:08,-1.28281,56.05229,gp13-902-08
2008-09-12 12:38:36,-1.23445,56.04254,gp13-902-08
2008-09-12 13:07:00,-1.22337,56.04501,gp13-902-08
2008-09-12 13:38:04,-1.25996,56.04412,gp13-902-08
2008-09-12 14:08:36,-1.23462,56.03561,gp13-902-08
2008-09-12 14:38:36,-1.19231,56.03107,gp13-902-08
2008-09-12 16:07:00,-1.19947,56.05648,gp13-902-08
2008-09-12 17:07:00,-1.21632,56.05776,gp13-902-08
2008-09-12 17:37:00,-1.20081,56.05467,gp13-902-08
2008-09-12 18:07:28,-1.20186,56.06528,gp13-902-08
2008-09-13 10:12:12,-1.27617,56.13468,gp13-902-08
2008-09-13 11:38:00,-1.32912,56.09451,gp13-902-08
2008-09-13 14:10:08,-1.22691,56.02941,gp13-902-08
2008-09-13 16:09:16,-1.15369,56.06547,gp13-902-08
2008-09-13 16:40:40,-1.18154,56.07292,gp13-902-08
2008-09-13 17:10:12,-1.21376,56.07696,gp13-902-08
2008-09-13 17:39:24,-1.23883,56.07981,gp13-902-08
2008-09-13 18:09:36,-1.27051,56.08175,gp13-902-08
2008-09-13 19:07:08,-1.32527,56.08186,gp13-902-08
2008-09-13 19:37:16,-1.33759,56.07645,gp13-902-08
2008-09-13 20:07:00,-1.36848,56.07467,gp13-902-08
2008-09-14 06:40:12,-1.34081,56.09315,gp13-902-08
2008-09-14 07:07:04,-1.32254,56.08191,gp13-902-08
2008-09-14 12:07:00,-1.2532,56.02799,gp13-902-08
2008-09-14 12:40:36,-1.2367,56.04427,gp13-902-08
2008-09-14 13:08:48,-1.21619,56.0569,gp13-902-08
2008-09-14 15:07:00,-1.1489,56.07383,gp13-902-08
2008-09-14 18:38:40,-1.21687,56.06996,gp13-902-08
2008-09-14 19:09:12,-1.23057,56.07995,gp13-902-08
2008-09-15 07:09:40,-1.33061,56.09294,gp13-902-08
2008-09-15 07:37:40,-1.34012,56.07821,gp13-902-08
2008-09-15 12:10:12,-1.35642,56.06784,gp13-902-08
2008-09-15 14:38:16,-1.27965,56.01013,gp13-902-08
2008-09-15 16:37:00,-1.29884,55.94704,gp13-902-08
2008-09-15 17:07:52,-1.30445,55.92404,gp13-902-08
2008-09-15 17:38:36,-1.31081,55.90135,gp13-902-08
2008-09-15 20:07:08,-1.32985,55.8068,gp13-902-08
2008-09-15 20:37:12,-1.34725,55.79745,gp13-902-08
2008-09-15 22:09:44,-1.43297,55.7825,gp13-902-08
2008-09-15 22:38:48,-1.46341,55.77911,gp13-902-08
2008-09-15 23:07:04,-1.49308,55.77216,gp13-902-08
2008-09-16 00:08:24,-1.54306,55.7493,gp13-902-08
2008-09-16 02:10:40,-1.55894,55.67861,gp13-902-08
2008-09-16 04:40:44,-1.60055,55.6375,gp13-902-08
2008-09-16 05:37:00,-1.61741,55.64176,gp13-902-08
2008-09-16 06:09:20,-1.62742,55.64163,gp13-902-08
2008-09-16 06:39:04,-1.60653,55.64122,gp13-902-08
2008-09-16 07:07:00,-1.60524,55.64285,gp13-902-08
2008-09-16 08:07:00,-1.60592,55.64325,gp13-902-08
2008-09-16 10:02:40,-1.60512,55.643,gp13-902-08
2008-09-16 10:37:00,-1.60117,55.65013,gp13-902-08
2008-09-16 11:37:00,-1.60108,55.65011,gp13-902-08
2008-09-16 12:08:00,-1.58158,55.6502,gp13-902-08
2008-09-16 13:09:28,-1.54566,55.6604,gp13-902-08
2008-09-16 14:37:00,-1.47388,55.68046,gp13-902-08
2008-09-16 15:10:24,-1.44032,55.69016,gp13-902-08
2008-09-16 15:37:20,-1.40372,55.69817,gp13-902-08
2008-09-16 16:11:48,-1.35755,55.70897,gp13-902-08
2008-09-16 16:38:08,-1.32639,55.71764,gp13-902-08
2008-09-16 18:14:24,-1.23805,55.73652,gp13-902-08
2008-09-16 18:37:00,-1.21925,55.74266,gp13-902-08
2008-09-16 19:10:36,-1.19014,55.75369,gp13-902-08
2008-09-17 02:41:08,-1.24389,55.86327,gp13-902-08
2008-09-17 03:07:00,-1.23681,55.84663,gp13-902-08
2008-09-17 04:42:24,-1.18208,55.80126,gp13-902-08
2008-09-17 05:43:32,-1.15955,55.79247,gp13-902-08
2008-09-17 06:08:16,-1.17138,55.79734,gp13-902-08
2008-09-17 06:42:04,-1.19816,55.79313,gp13-902-08
2008-09-17 07:10:40,-1.21744,55.79441,gp13-902-08
2008-09-17 07:37:36,-1.24865,55.79185,gp13-902-08
2008-09-17 08:09:56,-1.28466,55.79043,gp13-902-08
2008-09-17 09:09:52,-1.35152,55.80449,gp13-902-08
2008-09-17 10:08:32,-1.36789,55.83549,gp13-902-08
2008-09-17 10:37:12,-1.35395,55.82845,gp13-902-08
2008-09-17 11:09:44,-1.33118,55.82265,gp13-902-08
2008-09-17 11:39:12,-1.31375,55.81501,gp13-902-08
2008-09-17 13:37:48,-1.23993,55.82883,gp13-902-08
2008-09-17 14:07:28,-1.25354,55.83952,gp13-902-08
2008-09-17 15:37:00,-1.28872,55.79752,gp13-902-08
2008-09-17 16:08:36,-1.29165,55.78336,gp13-902-08
2008-09-17 16:37:48,-1.31265,55.76283,gp13-902-08
2008-09-17 17:37:00,-1.3526,55.7138,gp13-902-08
2008-09-17 18:09:24,-1.37069,55.68728,gp13-902-08
2008-09-17 18:39:32,-1.39488,55.66815,gp13-902-08
2008-09-17 19:08:16,-1.425,55.64994,gp13-902-08
2008-09-17 19:37:04,-1.45651,55.6393,gp13-902-08
2008-09-17 20:37:00,-1.53522,55.63229,gp13-902-08
2008-09-17 21:37:00,-1.60123,55.64988,gp13-902-08
2008-09-18 02:07:36,-1.59471,55.62702,gp13-902-08
2008-09-18 04:42:44,-1.59469,55.62523,gp13-902-08
2008-09-18 05:38:52,-1.56292,55.60765,gp13-902-08
2008-09-18 06:09:08,-1.53791,55.58477,gp13-902-08
2008-09-18 06:38:40,-1.52408,55.55778,gp13-902-08
2008-09-18 08:12:20,-1.4897,55.532,gp13-902-08
2008-09-18 09:08:12,-1.4775,55.5234,gp13-902-08
2008-09-18 10:10:04,-1.44889,55.50157,gp13-902-08
2008-09-18 12:07:16,-1.54053,55.51259,gp13-902-08
2008-09-18 12:38:52,-1.57739,55.51365,gp13-902-08
2008-09-18 13:07:24,-1.60543,55.50965,gp13-902-08
2008-09-18 13:37:00,-1.60033,55.51175,gp13-902-08
2008-09-18 14:08:40,-1.5752,55.51987,gp13-902-08
2008-09-18 14:39:48,-1.56253,55.53558,gp13-902-08
2008-09-18 15:39:56,-1.54567,55.56299,gp13-902-08
2008-09-18 16:39:00,-1.54884,55.58187,gp13-902-08
