"","ID","time","x","y","long","lat","depth","chl","dive"
"790","gp13-902-08","2008-05-30 22:37:44",845769.498865728,6115503.31385504,2.416919998,55.06556,31,1.00213120233828,9
"791","gp13-902-08","2008-05-30 23:09:52",846458.048814826,6113556.00844166,2.425289998,55.04766,31,1.00213120233828,18
"792","gp13-902-08","2008-05-30 23:39:08",847095.591917747,6112581.75391596,2.434039998,55.0385,29.4278560511971,1.06550194441737,31
"793","gp13-902-08","2008-05-31 00:07:16",847307.532508894,6112350.12379599,2.437059998,55.03628,29.4278560511971,1.06550194441737,30
"794","gp13-902-08","2008-05-31 00:37:32",847137.035883182,6112083.08187451,2.434079998,55.03401,29.4278560511971,1.06550194441737,35
"795","gp13-902-08","2008-05-31 01:07:28",847380.028288588,6111387.73863333,2.437019998,55.02762,29.4278560511971,1.06550194441737,22
"796","gp13-902-08","2008-05-31 02:13:48",849252.931636428,6109769.07843058,2.464209998,55.01183,23.1090598222099,1.05423375632489,8
"797","gp13-902-08","2008-05-31 02:39:08",850093.688004401,6111234.66365564,2.479089998,55.02435,26.8061559294257,1.05423375632489,29
"798","gp13-902-08","2008-05-31 03:10:28",850152.164034159,6112557.27611689,2.481619998,55.03614,26.8061559294257,1.05423375632489,20
"799","gp13-902-08","2008-05-31 04:07:32",850044.665974548,6115155.80023235,2.483129998,55.05946,30.921200631652,1.00000608220458,27
"800","gp13-902-08","2008-05-31 05:37:28",847825.872292242,6115918.52550032,2.449479998,55.06784,31,1.00213120233828,24
"801","gp13-902-08","2008-05-31 06:40:56",845632.435134959,6115393.17710963,2.414649998,55.06467,31,1.00213120233828,23
"802","gp13-902-08","2008-05-31 08:09:32",844385.702202187,6114319.55658387,2.393919998,55.05593,31,1.00213120233828,36
"803","gp13-902-08","2008-05-31 09:08:28",844384.43373972,6114360.81528278,2.393949998,55.0563,31,1.00213120233828,31
"804","gp13-902-08","2008-05-31 14:08:28",843705.478711015,6111860.49013273,2.380359998,55.0344,30.2339887450045,1.06550194441737,30
"805","gp13-902-08","2008-05-31 15:39:16",842040.65082144,6108944.83623301,2.350939998,55.00946,27.4906074497408,1.05713183377132,27
"806","gp13-902-08","2008-05-31 17:09:28",842724.074100728,6106913.97283029,2.359149998,54.99082,26.1736806885608,1.08289551913729,36
"807","gp13-902-08","2008-05-31 19:09:00",842007.985036015,6109454.22075409,2.351039998,55.01404,28.9672872880341,1.05713183377132,34
"808","gp13-902-08","2008-05-31 19:41:12",842049.865999127,6109803.91221991,2.352109998,55.01714,28.9672872880341,1.05713183377132,23
"809","gp13-902-08","2008-05-31 20:39:00",841539.228166184,6108312.91590209,2.342379998,55.00415,27.6637567517692,1.05713183377132,36
"810","gp13-902-08","2008-05-31 21:08:56",841858.320796783,6107686.8953484,2.346599998,54.99833,27.4906074497408,1.08289551913729,25
"811","gp13-902-08","2008-05-31 21:38:44",842891.487957345,6107561.68350572,2.362529998,54.9965,27.0520119551523,1.08289551913729,32
"812","gp13-902-08","2008-05-31 22:52:44",841889.505363596,6109140.00821504,2.348819998,55.01131,27.4906074497408,1.05713183377132,23
"813","gp13-902-08","2008-06-01 00:10:00",841166.188389472,6110525.22851875,2.339209998,55.0242,29.3250360265897,1.05713183377132,34
"814","gp13-902-08","2008-06-01 00:40:36",841209.893572914,6110516.28150143,2.339879998,55.02409,29.3250360265897,1.05713183377132,39
"815","gp13-902-08","2008-06-01 01:40:00",841105.676752118,6110627.8889937,2.338389998,55.02516,29.3250360265897,1.05713183377132,34
"816","gp13-902-08","2008-06-01 02:07:12",840681.37909704,6110777.59604112,2.331959998,55.02679,29.3669235612303,1.05713183377132,49
"817","gp13-902-08","2008-06-01 02:39:40",840661.981072722,6110829.75901517,2.331719998,55.02727,29.3669235612303,1.05713183377132,49
"818","gp13-902-08","2008-06-01 03:38:56",840658.831057298,6110820.57705082,2.331659998,55.02719,29.3669235612303,1.05713183377132,41
"819","gp13-902-08","2008-06-01 06:38:20",842002.644356152,6111832.21545809,2.353799998,55.03532,30.2761501152327,1.05713183377132,40
"820","gp13-902-08","2008-06-01 07:08:28",842062.58093345,6111687.05022907,2.354559998,55.03398,30.2761501152327,1.05713183377132,38
"821","gp13-902-08","2008-06-01 18:38:28",842528.337187688,6112884.13193566,2.363249998,55.04437,30.2761501152327,1.05713183377132,20
"822","gp13-902-08","2008-06-01 19:10:28",841977.659272865,6112617.14105027,2.354349998,55.04236,30.2761501152327,1.05713183377132,40
"823","gp13-902-08","2008-06-01 23:09:44",842654.918510575,6111555.99151508,2.363629998,55.0324,30.2761501152327,1.05713183377132,27
"824","gp13-902-08","2008-06-02 02:07:00",842057.262775224,6111087.567564,2.353759998,55.02862,28.9672872880341,1.05713183377132,42
"825","gp13-902-08","2008-06-02 03:09:56",841998.241870892,6111095.32996433,2.352849998,55.02873,28.9672872880341,1.05713183377132,35
"826","gp13-902-08","2008-06-02 09:07:00",842034.522877726,6111584.30434787,2.353999998,55.03308,30.2761501152327,1.05713183377132,39
"827","gp13-902-08","2008-06-02 11:37:00",840823.656673255,6110545.95181466,2.333899998,55.02462,29.3250360265897,1.05713183377132,24
"828","gp13-902-08","2008-06-02 12:38:32",837693.937242915,6109857.25455799,2.284339998,55.02059,29.4918418183229,1.05811222598751,39
"829","gp13-902-08","2008-06-02 13:37:00",837591.880475663,6110111.02686828,2.283049998,55.02293,29.4918418183229,1.05811222598751,20
"830","gp13-902-08","2008-06-02 14:09:32",838882.567393529,6111122.07303546,2.304349998,55.0311,29.4086870458633,1.05713183377132,31
"831","gp13-902-08","2008-06-02 15:07:12",840621.685460285,6110844.55976695,2.331109998,55.02743,29.3669235612303,1.05713183377132,15
"832","gp13-902-08","2008-06-02 15:37:08",841778.812187492,6109888.17505603,2.347989998,55.01808,29.3250360265897,1.05713183377132,34
"833","gp13-902-08","2008-06-02 17:07:04",840182.987570628,6110922.79848059,2.324369998,55.02843,29.3669235612303,1.05713183377132,39
"834","gp13-902-08","2008-06-02 17:39:48",839981.78104317,6110993.49352383,2.321319998,55.0292,29.3669235612303,1.05713183377132,45
"835","gp13-902-08","2008-06-02 18:38:36",839814.821131608,6110741.58475883,2.318419998,55.02706,29.3669235612303,1.05713183377132,45
"836","gp13-902-08","2008-06-02 20:07:28",839654.701372689,6111266.94207467,2.316549998,55.03187,30.4018895700625,1.05713183377132,18
"837","gp13-902-08","2008-06-02 21:09:56",837493.221792757,6112369.93716436,2.284179998,55.04321,30.4850952092936,1.05811222598751,35
"838","gp13-902-08","2008-06-02 21:39:28",836868.510942254,6112603.12742109,2.274719998,55.04572,30.4850952092936,1.05811222598751,23
"839","gp13-902-08","2008-06-02 22:08:04",837781.628869728,6112214.11680251,2.288489998,55.04162,30.4435544638786,1.05811222598751,30
"840","gp13-902-08","2008-06-02 22:38:20",838192.40196669,6111588.16816807,2.294149998,55.03574,30.4435544638786,1.05811222598751,26
"841","gp13-902-08","2008-06-03 00:08:44",839514.838122338,6111004.81777262,2.314059998,55.02962,29.4086870458633,1.05713183377132,32
"842","gp13-902-08","2008-06-03 04:40:16",841076.839479544,6111608.09270195,2.339109998,55.03395,30.3181873840035,1.05713183377132,17
"843","gp13-902-08","2008-06-03 05:09:04",841759.780822677,6112629.46967851,2.350969998,55.04262,30.3181873840035,1.05713183377132,28
"844","gp13-902-08","2008-06-03 05:37:00",841868.873434958,6112880.38123108,2.352969998,55.04479,30.2761501152327,1.05713183377132,33
"845","gp13-902-08","2008-06-03 06:08:56",841369.482991277,6113149.4149997,2.345509998,55.04754,31,1.00125311726111,36
"846","gp13-902-08","2008-06-03 12:40:56",841022.677633587,6112021.94532322,2.338759998,55.03769,30.3181873840035,1.05713183377132,32
"847","gp13-902-08","2008-06-03 13:10:12",840993.493871145,6111816.2985124,2.338059998,55.03587,30.3181873840035,1.05713183377132,40
"848","gp13-902-08","2008-06-03 14:08:04",840478.407987959,6111400.2447572,2.329539998,55.0325,30.3601005395315,1.05713183377132,34
"849","gp13-902-08","2008-06-03 15:11:08",840396.544677715,6111119.05074996,2.327929998,55.03004,29.3669235612303,1.05713183377132,34
"850","gp13-902-08","2008-06-03 18:07:00",839666.92547856,6110668.83718813,2.316029998,55.02651,29.4086870458633,1.05713183377132,33
"851","gp13-902-08","2008-06-03 19:38:24",840650.748656003,6110842.3116491,2.331559998,55.02739,29.3669235612303,1.05713183377132,30
"852","gp13-902-08","2008-06-03 20:09:40",840455.139446596,6110873.18018163,2.328549998,55.0278,29.3669235612303,1.05713183377132,40
"853","gp13-902-08","2008-06-03 20:37:04",840358.615123974,6111018.91877221,2.327219998,55.02917,29.3669235612303,1.05713183377132,32
"854","gp13-902-08","2008-06-03 21:08:12",839783.938791133,6110776.11020573,2.317979998,55.02739,29.4086870458633,1.05713183377132,41
"855","gp13-902-08","2008-06-03 21:38:24",839896.494681176,6110647.23063604,2.319579998,55.02616,29.3669235612303,1.05713183377132,44
"856","gp13-902-08","2008-06-03 22:07:44",839801.676224322,6110753.99337575,2.318229998,55.02718,29.3669235612303,1.05713183377132,43
"857","gp13-902-08","2008-06-03 22:38:48",839704.73136933,6110981.29708277,2.316989998,55.02928,29.4086870458633,1.05713183377132,34
