"","X","gps_data_animals_id","gps_sensors_id","animals_id","acquisition_time","geom","species_code","x","y"
"5361",5361,159126,2,2,"2014-04-11 12:00:14","0101000020E61000002071D932AA5351C023C8F77B18243DC0",1,470113.223813474,6776353.75903878
"5362",5362,159127,2,2,"2014-04-11 12:00:13","0101000020E6100000EB2F05B5A95351C08FB234A616243DC0",1,470116.133758753,6776356.86890769
"5363",5363,159128,2,2,"2014-04-11 12:00:06","0101000020E610000062A81EC4A95351C094DFFD4C18243DC0",1,470115.790883815,6776354.07596933
"5364",5364,159129,2,2,"2014-04-11 12:00:19","0101000020E6100000562B137EA95351C00B58175C18243DC0",1,470117.415523124,6776353.98049573
"5365",5365,159131,2,2,"2014-04-11 13:00:15","0101000020E6100000E516A9E6A85351C07DFF8B0C17243DC0",1,470120.921119862,6776356.20555584
"5366",5366,159132,2,2,"2014-04-11 13:00:19","0101000020E61000007416AC27A95351C0E881340818243DC0",1,470119.417801641,6776354.53970051
"5367",5367,159133,2,2,"2014-04-11 13:00:13","0101000020E6100000BB664D87A95351C0769208E819243DC0",1,470117.208360537,6776351.36518435
"5368",5368,159135,2,2,"2014-04-11 13:00:12","0101000020E61000009D4DA2B9A95351C0CAB040AA17243DC0",1,470116.031248009,6776355.15131196
"5369",5369,159137,2,2,"2014-04-11 14:00:00","0101000020E61000003FA7C585A85351C0057B02171A243DC0",1,470123.181436472,6776351.07055225
"5370",5370,159138,2,2,"2014-04-11 14:00:06","0101000020E6100000DF56D526A95351C0F2C7597D1A243DC0",1,470119.448103175,6776350.38495369
"5371",5371,159139,2,2,"2014-04-11 14:00:20","0101000020E6100000310109D4AC5351C093D38D661B243DC0",1,470097.625149933,6776348.78789909
"5372",5372,159140,2,2,"2014-04-11 14:00:41","0101000020E61000000F7F4DD6A85351C0519C48D51B243DC0",1,470121.321581826,6776348.11854021
"5373",5373,159141,2,2,"2014-04-11 14:00:22","0101000020E61000007A4C497BA85351C0754A51781A243DC0",1,470123.426284492,6776350.42857837
"5374",5374,159142,2,2,"2014-04-11 14:00:17","0101000020E6100000BB383B63A95351C0FD5536621C243DC0",1,470118.055802059,6776347.17933253
"5375",5375,159143,2,2,"2014-04-11 15:00:15","0101000020E61000002BE8AC05AC5351C0A3D6EA611E243DC0",1,470102.423912868,6776343.75924756
"5376",5376,159145,2,2,"2014-04-11 15:00:13","0101000020E6100000FD416ED0A85351C05831A6AA1A243DC0",1,470121.452608442,6776350.09103968
"5377",5377,159146,2,2,"2014-04-11 15:00:20","0101000020E61000007F1A52A0AA5351C05D024B091C243DC0",1,470110.700796938,6776347.74734122
"5378",5378,159148,2,2,"2014-04-11 15:00:17","0101000020E61000003FA7C585A85351C06FB5F3A21B243DC0",1,470123.188262565,6776348.45579962
"5379",5379,159149,2,2,"2014-04-11 16:00:16","0101000020E6100000F70BD17CA95351C034A37AC619243DC0",1,470117.450952387,6776351.5874085
"5380",5380,159150,2,2,"2014-04-11 16:00:12","0101000020E61000003FA7C585A85351C08DBA31981A243DC0",1,470123.183663629,6776350.21743381
"5381",5381,159151,2,2,"2014-04-11 16:00:06","0101000020E61000003F79B361A85351C0157E5F121D243DC0",1,470124.03110288,6776346.03158156
"5382",5382,159153,2,2,"2014-04-11 16:00:30","0101000020E610000071E1E58EA35351C0EC27AD09B3243DC0",1,470153.328082761,6776092.57496916
"5383",5383,159155,2,2,"2014-04-11 17:00:14","0101000020E6100000AFD8BA2FC25351C0B045C1429C253DC0",1,469972.533766566,6775697.81424816
"5384",5384,159156,2,2,"2014-04-11 17:00:15","0101000020E610000005CA0116D45351C03CBD529621263DC0",1,469866.867992988,6775472.13408493
"5385",5385,159157,2,2,"2014-04-11 17:00:17","0101000020E6100000FF829323D35351C016D8086932263DC0",1,469872.564558609,6775443.70787784
"5386",5386,159159,2,2,"2014-04-11 17:00:13","0101000020E6100000E696B1FCD45351C0EB94A2F034263DC0",1,469861.604842784,6775439.40230424
"5387",5387,159161,2,2,"2014-04-11 18:00:11","0101000020E6100000F9DC64AFD25351C087EF0E3A32263DC0",1,469875.257857011,6775444.02519748
"5388",5388,159162,2,2,"2014-04-11 18:00:15","0101000020E61000006FBD01C1F75351C078EE3D5C72263DC0",1,469655.49359088,6775335.01988632
"5389",5389,159163,2,2,"2014-04-11 18:00:30","0101000020E6100000D4522FAE275451C034F44F70B1263DC0",1,469371.27538852,6775227.62171137
"5390",5390,159164,2,2,"2014-04-11 18:00:05","0101000020E6100000FD0EEAC74B5451C054008C67D0263DC0",1,469157.116749982,6775174.6953769
"5391",5391,159165,2,2,"2014-04-11 18:00:12","0101000020E6100000707209D16B5451C0454772F90F273DC0",1,468967.239248471,6775066.71005698
"5392",5392,159166,2,2,"2014-04-11 18:00:13","0101000020E6100000A7800FB9745451C0964451FB08273DC0",1,468914.338031469,6775078.38831817
"5393",5393,159167,2,2,"2014-04-11 19:00:12","0101000020E6100000958E835C735451C03519445A19273DC0",1,468922.495317127,6775050.73372162
"5394",5394,159168,2,2,"2014-04-11 19:00:13","0101000020E6100000078F801B735451C0F37C618D0E273DC0",1,468923.953199873,6775068.99681069
"5395",5395,159171,2,2,"2014-04-11 19:00:14","0101000020E61000001F7B6242715451C04DFCAC8D0C273DC0",1,468934.914653329,6775072.40585241
"5396",5396,159172,2,2,"2014-04-11 19:00:06","0101000020E610000002EF891A715451C0CA79B5920C273DC0",1,468935.83868881,6775072.37512309
"5397",5397,159173,2,2,"2014-04-11 20:00:12","0101000020E610000078C02B38725451C0ED7772970E273DC0",1,468929.224729516,6775068.94465313
"5398",5398,159175,2,2,"2014-04-11 20:00:13","0101000020E6100000787874C8725451C0F3C418FD0D273DC0",1,468925.876307274,6775069.95487785
"5399",5399,159179,2,2,"2014-04-11 21:00:14","0101000020E6100000421A5FC5735451C0DFBD480D12273DC0",1,468920.030351803,6775063.06966351
"5400",5400,159180,2,2,"2014-04-11 21:00:29","0101000020E6100000F640D076715451C062F8889812273DC0",1,468933.726678905,6775062.18726449
"5401",5401,159181,2,2,"2014-04-11 21:00:13","0101000020E61000006DB9E985715451C073D30BE313273DC0",1,468933.382480414,6775060.00365479
"5402",5402,159182,2,2,"2014-04-11 21:00:10","0101000020E6100000C01369D1715451C0B50A517413273DC0",1,468931.629863188,6775060.73014628
"5403",5403,159184,2,2,"2014-04-11 21:00:06","0101000020E61000001F1F3EFA705451C0381DB74E12273DC0",1,468936.61389701,6775062.68260632
"5404",5404,159185,2,2,"2014-04-11 22:00:13","0101000020E610000031146690715451C0E57A809312273DC0",1,468933.133319077,6775062.21889171
"5405",5405,159186,2,2,"2014-04-11 22:00:15","0101000020E6100000077EAF7C715451C021E120C610273DC0",1,468933.582153618,6775065.26699189
"5406",5406,159187,2,2,"2014-04-11 22:00:14","0101000020E6100000EA95B20C715451C084F6459D14273DC0",1,468936.196555709,6775058.78146504
"5407",5407,159190,2,2,"2014-04-11 22:00:20","0101000020E61000006067542A725451C0414EF3E90C273DC0",1,468929.53797475,6775071.78187336
"5408",5408,159191,2,2,"2014-04-11 23:00:12","0101000020E610000097975709715451C05E8F78680E273DC0",1,468936.245868612,6775069.27394983
"5409",5409,159192,2,2,"2014-04-11 23:00:13","0101000020E6100000A35FB6F86F5451C0C354E9DD0E273DC0",1,468942.569703,6775068.51555137
"5410",5410,159197,2,2,"2014-04-12 00:00:13","0101000020E6100000F05586CC705451C0DA345B1E10273DC0",1,468937.663952887,6775066.38603348
"5411",5411,159198,2,2,"2014-04-12 00:00:12","0101000020E61000006156838B705451C06FB2B2220F273DC0",1,468939.166928951,6775068.05204987
"5412",5412,159199,2,2,"2014-04-12 00:00:14","0101000020E610000008F7144A705451C0ACA8C1340C273DC0",1,468940.670696479,6775073.00869985
"5413",5413,159203,2,2,"2014-04-12 01:00:30","0101000020E6100000077EAF7C715451C0796869B812273DC0",1,468933.591090393,6775061.97638446
"5414",5414,159204,2,2,"2014-04-12 01:00:12","0101000020E61000007EF6C88B715451C01B4CC3F011273DC0",1,468933.237383334,6775063.29389243
"5415",5415,159205,2,2,"2014-04-12 01:00:05","0101000020E6100000077EAF7C715451C00F2E782C11273DC0",1,468933.583989117,6775064.59114322
"5416",5416,159206,2,2,"2014-04-12 01:00:13","0101000020E610000043233372715451C0F7BD970C11273DC0",1,468933.826560721,6775064.8023138
"5417",5417,159209,2,2,"2014-04-12 02:00:14","0101000020E610000055601278715451C0A5F386A00F273DC0",1,468933.683870927,6775067.20619253
"5418",5418,159210,2,2,"2014-04-12 02:00:13","0101000020E6100000F66EE29A715451C0BC2F1D2911273DC0",1,468932.883676194,6775064.6114004
"5419",5419,159211,2,2,"2014-04-12 02:00:12","0101000020E6100000BA9B4C81715451C00F2E782C11273DC0",1,468933.477006059,6775064.59085268
"5420",5420,159215,2,2,"2014-04-12 03:00:16","0101000020E61000007EDC2340725451C0AF39AC1512273DC0",1,468929.055980907,6775063.03878501
"5421",5421,159216,2,2,"2014-04-12 03:00:06","0101000020E61000001F0599AE715451C09811836511273DC0",1,468932.427650051,6775064.21129742
"5422",5422,159217,2,2,"2014-04-12 03:00:12","0101000020E610000001005BB9725451C0085163E712273DC0",1,468926.249006743,6775061.64621423
"5423",5423,159218,2,2,"2014-04-12 03:00:13","0101000020E6100000B34B0AE2725451C05045E0FE12273DC0",1,468925.306032304,6775061.48853866
"5424",5424,159220,2,2,"2014-04-12 03:00:05","0101000020E61000002A1DACFF735451C01E6D1CB116273DC0",1,468918.699789228,6775055.22171394
"5425",5425,159222,2,2,"2014-04-12 04:00:13","0101000020E6100000DDFB6541725451C09F364F1A0F273DC0",1,468929.013110693,6775068.07987202
"5426",5426,159224,2,2,"2014-04-12 04:00:14","0101000020E61000000D24DEF0715451C0468F29690F273DC0",1,468930.881866265,6775067.56420816
"5427",5427,159227,2,2,"2014-04-12 05:00:28","0101000020E61000007EDC2340725451C0AF39AC1512273DC0",1,468929.055980907,6775063.03878501
"5428",5428,159228,2,2,"2014-04-12 05:00:15","0101000020E610000007921C55725451C05E1FE7470D273DC0",1,468928.547634724,6775071.15872756
"5429",5429,159229,2,2,"2014-04-12 05:00:06","0101000020E6100000A8BA91C3715451C0346CEFAE0E273DC0",1,468931.928905471,6775068.79688399
"5430",5430,159230,2,2,"2014-04-12 05:00:54","0101000020E6100000A8BA91C3715451C0346CEFAE0E273DC0",1,468931.928905471,6775068.79688399
"5431",5431,159231,2,2,"2014-04-12 05:00:30","0101000020E6100000011A0005725451C00929893611273DC0",1,468930.423306611,6775064.51608146
"5432",5432,159232,2,2,"2014-04-12 05:00:16","0101000020E61000004337A04A725451C0FF2A1B310E273DC0",1,468928.794961342,6775069.61933942
"5433",5433,159233,2,2,"2014-04-12 06:00:18","0101000020E6100000F5543D4F725451C04C6C3EAE0D273DC0",1,468928.685630842,6775070.48324875
"5434",5434,159234,2,2,"2014-04-12 06:00:30","0101000020E610000078921914725451C0165344E10E273DC0",1,468930.062466947,6775068.45942759
"5435",5435,159235,2,2,"2014-04-12 06:00:13","0101000020E6100000CCBE863B725451C08D83A6800F273DC0",1,468929.151106747,6775067.4043932
"5436",5436,159236,2,2,"2014-04-12 06:00:16","0101000020E610000019BB8E82715451C0F895BD5B0F273DC0",1,468933.439493859,6775067.65979113
"5437",5437,159238,2,2,"2014-04-12 06:00:14","0101000020E61000001F4D501E715451C0BE5B6ACE0B273DC0",1,468935.747636869,6775073.67118526
"5438",5438,159239,2,2,"2014-04-12 07:00:15","0101000020E6100000DE46B9EA705451C0884270010D273DC0",1,468936.949408796,6775071.64688787
"5439",5439,159241,2,2,"2014-04-12 07:00:12","0101000020E61000005BAA1CA4715451C03A2927350F273DC0",1,468932.660742956,6775067.91250619
"5440",5440,159242,2,2,"2014-04-12 07:00:06","0101000020E61000000DF6CBCC715451C04CDCCFCE0E273DC0",1,468931.715511023,6775068.58579262
"5441",5441,159244,2,2,"2014-04-12 07:00:13","0101000020E6100000CCD82B87715451C07162FEC00B273DC0",1,468933.315961093,6775073.75321798
"5442",5442,159245,2,2,"2014-04-12 08:00:12","0101000020E61000000DD4731C895451C0E1A1DE420D273DC0",1,468793.330602094,6775070.82388023
"5443",5443,159248,2,2,"2014-04-12 08:00:13","0101000020E6100000E7D95141EA5451C045C5EEF1F8263DC0",1,468216.576573939,6775103.58258359
"5444",5444,159249,2,2,"2014-04-12 08:00:05","0101000020E61000002EFF21FDF65451C07E350708E6263DC0",1,468140.898825679,6775135.3477205
"5445",5445,159250,2,2,"2014-04-12 08:00:06","0101000020E610000051D5A997045551C0747F5072E2263DC0",1,468060.128596128,6775141.1830134
"5446",5446,159251,2,2,"2014-04-12 09:00:00","0101000020E61000001F115322095551C03BCB87FB23273DC0",1,468033.478285317,6775030.31279342
"5447",5447,159252,2,2,"2014-04-12 09:00:13","0101000020E610000086CEC6A5055551C0EDBF29070E273DC0",1,468054.070940241,6775067.4869091
"5448",5448,159253,2,2,"2014-04-12 09:00:07","0101000020E610000050429F7E065551C003942B6112273DC0",1,468049.063280552,6775060.11608321
"5449",5449,159255,2,2,"2014-04-12 09:00:14","0101000020E6100000980BA6AB055551C05BB6D61709273DC0",1,468053.911480471,6775075.82938584
"5450",5450,159257,2,2,"2014-04-12 10:00:15","0101000020E61000003E7B890C065551C00DBD6A0A09273DC0",1,468051.664584965,6775075.91174726
"5451",5451,159258,2,2,"2014-04-12 10:00:14","0101000020E61000008084BC79055551C0249DDC4A0A273DC0",1,468055.074506759,6775073.80507107
"5452",5452,159259,2,2,"2014-04-12 10:00:18","0101000020E6100000090CA36A055551C01F7013A408273DC0",1,468055.416836622,6775076.59808066
"5453",5453,159261,2,2,"2014-04-12 10:00:29","0101000020E6100000FC0C5EAA085551C0BC12375D05273DC0",1,468036.115195938,6775082.08395156
"5454",5454,159262,2,2,"2014-04-12 10:00:17","0101000020E610000049C1AE81085551C08D66C0B403273DC0",1,468037.050761647,6775084.88969894
"5455",5455,159263,2,2,"2014-04-12 11:00:26","0101000020E6100000918AB5AE075551C006989E550B273DC0",1,468041.978847158,6775072.00683934
"5456",5456,159264,2,2,"2014-04-12 11:00:12","0101000020E6100000F6C5EFB7075551C08491A86109273DC0",1,468041.755656513,6775075.30793
"5457",5457,159265,2,2,"2014-04-12 11:00:13","0101000020E61000007F4DD6A8075551C00D2DFC2A0A273DC0",1,468042.109497873,6775073.97936921
