"","gps_data_animals_id","gps_sensors_id","animals_id","acquisition_time","longitude","latitude","insert_timestamp","update_timestamp","geom","species_code"
"50",3132,4,4,2014-04-27 02:00:30,-69.340285,-29.0181894,09:58:00,23:21:00,"0101000020E61000007094BC3AC75551C045227E0FA8043DC0",1
"51",3156,4,4,2014-04-27 14:00:14,-69.338755,-29.0211356,09:58:00,23:21:00,"0101000020E6100000D1967329AE5551C006C8862469053DC0",1
"52",3167,4,4,2014-04-27 17:01:27,-69.3454208,-29.0183428,09:58:00,23:21:00,"0101000020E6100000ECD6D75F1B5651C0F81D1E1DB2043DC0",1
"53",3168,4,4,2014-04-27 20:00:18,-69.3433722,-29.0145992,09:58:00,23:21:00,"0101000020E6100000C25664CFF95551C03A8CEEC5BC033DC0",1
"54",3174,4,4,2014-04-27 23:00:22,-69.3409975,-29.0177186,09:58:00,23:21:00,"0101000020E610000023A12DE7D25551C0E987C73489043DC0",1
"55",3189,4,4,2014-04-28 05:00:40,-69.2984314,-29.0262275,09:58:00,23:21:00,"0101000020E61000005EC60380195351C07FC16ED8B6063DC0",1
"56",3202,4,4,2014-04-28 11:01:22,-69.2845278,-29.0340767,09:58:00,23:21:00,"0101000020E610000062F316B4355251C03C0E2840B9083DC0",1
"57",3213,4,4,2014-04-28 17:00:47,-69.2339644,-29.0349447,09:58:00,23:21:00,"0101000020E6100000699BD145F94E51C025ABC722F2083DC0",1
"58",3220,4,4,2014-04-28 20:00:46,-69.2339036,-29.0371839,09:58:00,23:21:00,"0101000020E6100000AB1ACE46F84E51C00F7052E284093DC0",1
"59",3225,4,4,2014-04-28 23:00:40,-69.2156344,-29.0501361,09:58:00,23:21:00,"0101000020E610000020F939F4CC4D51C057D92DB8D50C3DC0",1
"60",3233,4,4,2014-04-29 02:02:29,-69.2157481,-29.0501922,09:58:00,23:21:00,"0101000020E6100000256B1ED1CE4D51C0A9836165D90C3DC0",1
"61",3238,4,4,2014-04-29 05:00:48,-69.2165483,-29.0516828,09:58:00,23:21:00,"0101000020E610000048A066EDDB4D51C005C47F153B0D3DC0",1
"62",3263,4,4,2014-04-29 17:00:49,-69.1636983,-29.0508914,09:58:00,23:21:00,"0101000020E61000004A3A6F087A4A51C0CDA50238070D3DC0",1
"63",3275,4,4,2014-04-29 23:03:01,-69.1819481,-29.0324408,09:58:00,23:21:00,"0101000020E610000070C4A409A54B51C05B0E4F0A4E083DC0",1
"64",3281,4,4,2014-04-30 02:01:33,-69.1822206,-29.0324431,09:58:00,23:21:00,"0101000020E6100000146A9780A94B51C0197BE5304E083DC0",1
"65",3286,4,4,2014-04-30 05:00:54,-69.1822881,-29.0324025,09:58:00,23:21:00,"0101000020E6100000CCFCB49BAA4B51C003CFBD874B083DC0",1
"66",3291,4,4,2014-04-30 08:00:49,-69.1822569,-29.0323803,09:58:00,23:21:00,"0101000020E61000001A3ED818AA4B51C0E08849134A083DC0",1
"67",3299,4,4,2014-04-30 11:03:04,-69.1822075,-29.0324336,09:58:00,23:21:00,"0101000020E61000008065A549A94B51C0A34A83914D083DC0",1
"68",3305,4,4,2014-04-30 14:01:24,-69.1961397,-29.0091281,09:58:00,23:21:00,"0101000020E6100000A03C878D8D4C51C081F91A3856023DC0",1
"69",3324,4,4,2014-05-01 02:00:12,-69.242985,-29.0085125,09:58:00,23:21:00,"0101000020E6100000CA1AF5108D4F51C0711B0DE02D023DC0",1
"70",3330,4,4,2014-05-01 05:00:29,-69.2447661,-29.0097453,09:58:00,23:21:00,"0101000020E6100000D9AA6E3FAA4F51C02ACA00AB7E023DC0",1
"71",3352,4,4,2014-05-01 14:00:43,-69.2444889,-29.0099764,09:58:00,23:21:00,"0101000020E61000000A6FC5B4A54F51C058BB37D08D023DC0",1
"72",3354,4,4,2014-05-01 17:00:10,-69.2447283,-29.0100761,09:58:00,23:21:00,"0101000020E6100000F739E3A0A94F51C0A2F8E75894023DC0",1
"73",3370,4,4,2014-05-01 23:00:47,-69.2429586,-29.0085492,09:58:00,23:21:00,"0101000020E61000000B523AA28C4F51C02F68C64730023DC0",1
"74",3372,4,4,2014-05-02 02:00:18,-69.2440192,-29.00977,09:58:00,23:21:00,"0101000020E610000026E6B4029E4F51C05F7B664980023DC0",1
"75",3403,4,4,2014-05-02 17:00:29,-69.2420394,-29.0098897,09:58:00,23:21:00,"0101000020E6100000FBD5D2927D4F51C03711A22188023DC0",1
"76",3410,4,4,2014-05-02 20:00:23,-69.2672133,-29.0134028,09:58:00,23:21:00,"0101000020E61000009923D0051A5151C0C2ACAB5D6E033DC0",1
"77",3423,4,4,2014-05-03 02:00:30,-69.3613242,-29.0494397,09:58:00,23:21:00,"0101000020E6100000379089EF1F5751C0C29F8614A80C3DC0",1
"78",3432,4,4,2014-05-03 08:00:30,-69.3835503,-29.0615353,09:58:00,23:21:00,"0101000020E6100000BEB78E168C5851C0AF0C05C7C00F3DC0",1
"79",3460,4,4,2014-05-03 20:00:53,-69.3866158,-29.0683144,09:58:00,23:21:00,"0101000020E61000007B473250BE5851C08AD8710D7D113DC0",1
"80",3462,4,4,2014-05-03 23:00:29,-69.3865967,-29.0683056,09:58:00,23:21:00,"0101000020E610000075CF1500BE5851C03722CE797C113DC0",1
"81",3468,4,4,2014-05-04 02:00:22,-69.3866208,-29.0683281,09:58:00,23:21:00,"0101000020E610000004FD2A65BE5851C0D7E54AF37D113DC0",1
"82",3483,4,4,2014-05-04 08:00:48,-69.3889911,-29.0671311,09:58:00,23:21:00,"0101000020E6100000D83BED3AE55851C0650BF7802F113DC0",1
"83",3485,4,4,2014-05-04 11:00:19,-69.3870919,-29.0682558,09:58:00,23:21:00,"0101000020E6100000FAC21A1DC65851C027C34C3679113DC0",1
"84",3496,4,4,2014-05-04 14:00:48,-69.3865872,-29.0683592,09:58:00,23:21:00,"0101000020E610000057433DD8BD5851C0776110FD7F113DC0",1
"85",3508,4,4,2014-05-04 20:00:49,-69.3866422,-29.0683172,09:58:00,23:21:00,"0101000020E61000003910EDBEBE5851C019C16B3C7D113DC0",1
"86",3509,4,4,2014-05-04 23:00:29,-69.3864358,-29.0683264,09:58:00,23:21:00,"0101000020E61000003BC0385DBB5851C01374C5D67D113DC0",1
"87",3517,4,4,2014-05-05 02:00:37,-69.3874239,-29.0675731,09:58:00,23:21:00,"0101000020E6100000150C9D8DCB5851C0DF967E784C113DC0",1
"88",3525,4,4,2014-05-05 05:00:48,-69.3881442,-29.0668889,09:58:00,23:21:00,"0101000020E61000007448C55AD75851C025F785A11F113DC0",1
"89",3527,4,4,2014-05-05 08:00:29,-69.3881275,-29.0668583,09:58:00,23:21:00,"0101000020E610000068CBB914D75851C056F723A01D113DC0",1
"90",3538,4,4,2014-05-05 11:01:48,-69.3882067,-29.0668389,09:58:00,23:21:00,"0101000020E6100000A325EA60D85851C0C299A95A1C113DC0",1
"91",3542,4,4,2014-05-05 14:00:29,-69.3886425,-29.0654622,09:58:00,23:21:00,"0101000020E61000007CD5CA84DF5851C0CC1F7821C2103DC0",1
"92",3549,4,4,2014-05-05 17:01:24,-69.4001128,-29.0844478,09:58:00,23:21:00,"0101000020E610000081ADB7729B5951C01A38FB5E9E153DC0",1
"93",3566,4,4,2014-05-06 02:00:54,-69.3588619,-29.1372786,09:58:00,23:21:00,"0101000020E6100000F211E797F75651C0CF70B9B024233DC0",1
"94",3576,4,4,2014-05-06 08:00:31,-69.3534767,-29.1356033,09:58:00,23:21:00,"0101000020E61000007999BC5C9F5651C0CCBADAE5B6223DC0",1
"95",3582,4,4,2014-05-06 11:00:29,-69.3534686,-29.1355189,09:58:00,23:21:00,"0101000020E61000006D4AC33A9F5651C06A7DDB5DB1223DC0",1
"96",3588,4,4,2014-05-06 14:00:34,-69.3535736,-29.1355256,09:58:00,23:21:00,"0101000020E6100000A82E2AF3A05651C052C543CEB1223DC0",1
"97",3600,4,4,2014-05-06 20:00:29,-69.3449678,-29.157075,09:58:00,23:21:00,"0101000020E610000014CBD2F3135651C0EA04341136283DC0",1
"98",3618,4,4,2014-05-07 05:00:22,-69.3375819,-29.1305294,09:58:00,23:21:00,"0101000020E61000002E0E1DF19A5551C0A02AF05F6A213DC0",1
"99",3628,4,4,2014-05-07 08:00:52,-69.3340975,-29.1330647,09:58:00,23:21:00,"0101000020E6100000390B7BDA615551C086C0368710223DC0",1
"100",3630,4,4,2014-05-07 11:00:22,-69.3340439,-29.1330392,09:58:00,23:21:00,"0101000020E6100000697BAAF9605551C0041665DB0E223DC0",1
"101",3647,4,4,2014-05-07 17:00:51,-69.3220256,-29.1439822,09:58:00,23:21:00,"0101000020E6100000631E43119C5451C0C5347804DC243DC0",1
"102",3671,4,4,2014-05-08 05:02:10,-69.3063697,-29.1524461,09:58:00,23:21:00,"0101000020E6100000107FA88F9B5351C01AE725B506273DC0",1
"103",3683,4,4,2014-05-08 11:02:24,-69.3077669,-29.1592847,09:58:00,23:21:00,"0101000020E6100000A592F073B25351C0D040D1E1C6283DC0",1
"104",3686,4,4,2014-05-08 14:00:30,-69.3061783,-29.1758283,09:58:00,23:21:00,"0101000020E6100000AC4FDE6C985351C016365E15032D3DC0",1
"105",3695,4,4,2014-05-08 17:00:51,-69.3150486,-29.1867356,09:58:00,23:21:00,"0101000020E6100000A3699AC1295451C0BAFF7EE7CD2F3DC0",1
"106",3700,4,4,2014-05-08 20:00:59,-69.3074708,-29.1873847,09:58:00,23:21:00,"0101000020E6100000669E019AAD5351C051459671F82F3DC0",1
"107",3705,4,4,2014-05-08 23:00:53,-69.3062214,-29.1863975,09:58:00,23:21:00,"0101000020E61000007695A421995351C0618E1EBFB72F3DC0",1
"108",3708,4,4,2014-05-09 02:00:29,-69.2952139,-29.173725,09:58:00,23:21:00,"0101000020E6100000C674D7C8E45251C0637FD93D792C3DC0",1
"109",3719,4,4,2014-05-09 05:01:45,-69.2992189,-29.1534292,09:58:00,23:21:00,"0101000020E610000016760767265351C05F40D42247273DC0",1
"110",3730,4,4,2014-05-09 11:02:24,-69.2988619,-29.1576483,09:58:00,23:21:00,"0101000020E61000004FA1A98D205351C01FC594A35B283DC0",1
"111",3734,4,4,2014-05-09 14:00:30,-69.2988381,-29.1575942,09:58:00,23:21:00,"0101000020E61000001F93D629205351C00E0AEF1758283DC0",1
"112",3738,4,4,2014-05-09 17:00:24,-69.2957503,-29.1273169,09:58:00,23:21:00,"0101000020E61000000F92AA92ED5251C065BA21D797203DC0",1
"113",3744,4,4,2014-05-09 20:00:07,-69.2560678,-29.1163611,09:58:00,23:21:00,"0101000020E6100000C1A3326A635051C0CE064FD7C91D3DC0",1
"114",3755,4,4,2014-05-09 23:00:53,-69.2552558,-29.1152144,09:58:00,23:21:00,"0101000020E610000051476C1C565051C03C07E0B07E1D3DC0",1
"115",3756,4,4,2014-05-10 02:00:30,-69.2608067,-29.0700361,09:58:00,23:21:00,"0101000020E6100000F9C4950EB15051C0150AC7E2ED113DC0",1
"116",3765,4,4,2014-05-10 05:00:30,-69.2683136,-29.0443147,09:58:00,23:21:00,"0101000020E61000009C44CE0C2C5151C0683B4B35580B3DC0",1
"117",3770,4,4,2014-05-10 08:00:30,-69.2525853,-29.0440031,09:58:00,23:21:00,"0101000020E6100000D3BC885B2A5051C0316C83C9430B3DC0",1
"118",3781,4,4,2014-05-10 14:00:07,-69.24923,-29.03838,09:58:00,23:21:00,"0101000020E6100000A7CB6262F34F51C00BD28C45D3093DC0",1
"119",3794,4,4,2014-05-10 20:00:12,-69.3112083,-29.0531172,09:58:00,23:21:00,"0101000020E61000009AAF37D6EA5351C0E7DABC16990D3DC0",1
"120",3805,4,4,2014-05-11 02:00:29,-69.3480317,-29.0241772,09:58:00,23:21:00,"0101000020E61000002A5EC026465651C0114F1B7A30063DC0",1
"121",3813,4,4,2014-05-11 05:00:30,-69.3438839,-28.9906011,09:58:00,23:21:00,"0101000020E6100000BD079E31025651C0B2E19F0898FD3CC0",1
"122",3822,4,4,2014-05-11 08:00:54,-69.3411292,-28.9902142,09:58:00,23:21:00,"0101000020E61000007B6D910FD55551C0E90885AD7EFD3CC0",1
"123",3828,4,4,2014-05-11 11:01:30,-69.3411253,-28.9902161,09:58:00,23:21:00,"0101000020E6100000A5D535FFD45551C0017965CD7EFD3CC0",1
"124",3831,4,4,2014-05-11 14:00:29,-69.3411433,-28.9902353,09:58:00,23:21:00,"0101000020E6100000F82FB54AD55551C041D8840F80FD3CC0",1
"125",3840,4,4,2014-05-11 17:01:35,-69.3346522,-28.9897111,09:58:00,23:21:00,"0101000020E610000034A20FF16A5551C0FAFCE6B45DFD3CC0",1
"126",3846,4,4,2014-05-11 20:00:48,-69.32585,-28.9883906,09:58:00,23:21:00,"0101000020E6100000B459F5B9DA5451C07FAC962A07FD3CC0",1
"127",3850,4,4,2014-05-11 23:00:33,-69.3250478,-28.9876336,09:58:00,23:21:00,"0101000020E6100000C0A84995CD5451C0456E3C8ED5FC3CC0",1
"128",3868,4,4,2014-05-12 08:00:47,-69.3250258,-28.9875478,09:58:00,23:21:00,"0101000020E6100000CD560339CD5451C09C3CC0EECFFC3CC0",1
"129",3888,4,4,2014-05-12 20:00:15,-69.3249864,-28.9875733,09:58:00,23:21:00,"0101000020E610000044E9C193CC5451C01EE7919AD1FC3CC0",1
"130",3912,4,4,2014-05-13 08:00:29,-69.3249994,-28.9875767,09:58:00,23:21:00,"0101000020E61000000E8E48CACC5451C0A7CA9CD3D1FC3CC0",1
"131",3920,4,4,2014-05-13 11:00:34,-69.3249478,-28.9876519,09:58:00,23:21:00,"0101000020E61000000F7ADBF1CB5451C00F5542C1D6FC3CC0",1
"132",3936,4,4,2014-05-13 20:00:13,-69.3249733,-28.98757,09:58:00,23:21:00,"0101000020E6100000AFE4CF5CCC5451C0BF823463D1FC3CC0",1
"133",3944,4,4,2014-05-13 23:00:29,-69.3250044,-28.9875744,09:58:00,23:21:00,"0101000020E6100000974341DFCC5451C0E85D06ADD1FC3CC0",1
"134",3952,4,4,2014-05-14 02:01:09,-69.3250536,-28.9875447,09:58:00,23:21:00,"0101000020E61000009D5C9DADCD5451C090D6BDBACFFC3CC0",1
"135",3969,4,4,2014-05-14 11:00:33,-69.33767,-28.9912736,09:58:00,23:21:00,"0101000020E6100000C8B5A1629C5551C060634D1BC4FD3CC0",1
"136",3975,4,4,2014-05-14 14:00:29,-69.3377686,-28.9911294,09:58:00,23:21:00,"0101000020E610000068A730009E5551C0A61A07A8BAFD3CC0",1
"137",3984,4,4,2014-05-14 20:00:11,-69.3907475,-29.0258933,09:58:00,23:21:00,"0101000020E61000009A5FCD01025951C07EAF7CF1A0063DC0",1
"138",4000,4,4,2014-05-15 05:00:30,-69.38425,-29.0651669,09:58:00,23:21:00,"0101000020E61000003BDF4F8D975851C01E4828C7AE103DC0",1
"139",4006,4,4,2014-05-15 08:00:48,-69.3872942,-29.0677642,09:58:00,23:21:00,"0101000020E61000008DBB9C6DC95851C0F0D69EFE58113DC0",1
"140",4008,4,4,2014-05-15 11:00:29,-69.3873386,-29.0678311,09:58:00,23:21:00,"0101000020E61000009FDED627CA5851C0D62604615D113DC0",1
"141",4021,4,4,2014-05-15 17:00:30,-69.38672,-29.0674725,09:58:00,23:21:00,"0101000020E6100000622D3E05C05851C01EE1B4E045113DC0",1
"142",4031,4,4,2014-05-15 23:00:30,-69.3872928,-29.0678253,09:58:00,23:21:00,"0101000020E61000007B7EBD67C95851C06557B5FF5C113DC0",1
"143",4035,4,4,2014-05-16 02:00:47,-69.3867283,-29.0674483,09:58:00,23:21:00,"0101000020E6100000033C0E28C05851C0B9ABB24A44113DC0",1
"144",4042,4,4,2014-05-16 05:00:54,-69.3872892,-29.0678214,09:58:00,23:21:00,"0101000020E61000000406A458C95851C00CF846BE5C113DC0",1
"145",4049,4,4,2014-05-16 11:00:22,-69.3872628,-29.0678364,09:58:00,23:21:00,"0101000020E6100000463DE9E9C85851C0777AEFB95D113DC0",1
"146",4077,4,4,2014-05-17 02:01:04,-69.3872678,-29.0678086,09:58:00,23:21:00,"0101000020E6100000CFF2E1FEC85851C0366387E75B113DC0",1
"147",4101,4,4,2014-05-17 17:00:56,-69.38669,-29.0674678,09:58:00,23:21:00,"0101000020E61000002DEC6987BF5851C07788DA9145113DC0",1
"148",4107,4,4,2014-05-17 20:00:48,-69.3866444,-29.0674542,09:58:00,23:21:00,"0101000020E61000009E4B27C8BE5851C054FAAEAD44113DC0",1
"149",4108,4,4,2014-05-17 23:00:29,-69.3867475,-29.0674594,09:58:00,23:21:00,"0101000020E6100000D3139678C05851C0CBCEEC0445113DC0",1
"150",4113,4,4,2014-05-18 02:00:25,-69.3872136,-29.0678328,09:58:00,23:21:00,"0101000020E610000040248D1BC85851C09B98897D5D113DC0",1
"151",4125,4,4,2014-05-18 08:00:47,-69.3872942,-29.06778,09:58:00,23:21:00,"0101000020E61000008DBB9C6DC95851C0A852B3075A113DC0",1
"152",4132,4,4,2014-05-18 11:00:49,-69.39747,-29.0685186,09:58:00,23:21:00,"0101000020E610000008C90226705951C0EF2A5A6F8A113DC0",1
"153",4136,4,4,2014-05-18 14:00:40,-69.3878967,-29.067105,09:58:00,23:21:00,"0101000020E61000007C2EAE4CD35851C0E96514CB2D113DC0",1
"154",4141,4,4,2014-05-18 17:00:47,-69.3743928,-29.0725264,09:58:00,23:21:00,"0101000020E6100000E7F6370DF65751C0BC18141791123DC0",1
"155",4143,4,4,2014-05-18 20:00:19,-69.3701244,-29.0719258,09:58:00,23:21:00,"0101000020E6100000E75C401EB05751C017BDAEBA69123DC0",1
"156",4153,4,4,2014-05-19 02:00:29,-69.3591097,-29.0782144,09:58:00,23:21:00,"0101000020E61000004A4B40A7FB5651C08613E2DB05143DC0",1
"157",4162,4,4,2014-05-19 05:01:14,-69.3425047,-29.1320756,09:58:00,23:21:00,"0101000020E61000007C4ED598EB5551C07E99DEB4CF213DC0",1
"158",4170,4,4,2014-05-19 11:00:54,-69.3327369,-29.1360958,09:58:00,23:21:00,"0101000020E610000009EBB58F4B5551C07A1FA22CD7223DC0",1
"159",4177,4,4,2014-05-19 14:00:54,-69.3326975,-29.1361367,09:58:00,23:21:00,"0101000020E6100000807D74EA4A5551C00E49D2DAD9223DC0",1
"160",4191,4,4,2014-05-19 23:00:48,-69.3316269,-29.1412681,09:58:00,23:21:00,"0101000020E6100000547E0860395551C0D3776D252A243DC0",1
"161",4195,4,4,2014-05-20 02:00:29,-69.3226897,-29.1440278,09:58:00,23:21:00,"0101000020E61000006310B3F2A65451C0FFB68201DF243DC0",1
"162",4198,4,4,2014-05-20 05:00:29,-69.3288867,-29.1538692,09:58:00,23:21:00,"0101000020E6100000B825CD7A0C5551C097DCCDF863273DC0",1
"163",4207,4,4,2014-05-20 08:00:31,-69.3282672,-29.1519225,09:58:00,23:21:00,"0101000020E61000005E166E54025551C0CD069964E4263DC0",1
"164",4210,4,4,2014-05-20 11:00:30,-69.3282681,-29.1518419,09:58:00,23:21:00,"0101000020E61000007C743458025551C09AA95A1CDF263DC0",1
"165",4215,4,4,2014-05-20 14:00:29,-69.324195,-29.1452381,09:58:00,23:21:00,"0101000020E6100000B6A1629CBF5451C018A2F9522E253DC0",1
"166",4221,4,4,2014-05-20 17:00:30,-69.3375856,-29.1382853,09:58:00,23:21:00,"0101000020E61000006FE6A1009B5551C07E0459AA66233DC0",1
"167",4224,4,4,2014-05-20 20:00:28,-69.3562047,-29.1279325,09:58:00,23:21:00,"0101000020E61000009E4BCC0ECC5651C074982F2FC0203DC0",1
