"","X.1","Elk","Date_Time","id","X","Y"
"90",90,"Wiggins2","2015-03-07 08:00:11",2,-1074744.89711114,2355218.90227741
"91",91,"Wiggins2","2015-03-07 09:00:19",2,-1074703.61002381,2355280.68498041
"92",92,"Wiggins2","2015-03-07 10:00:19",2,-1074679.54475336,2355278.39750776
"93",93,"Wiggins2","2015-03-07 11:00:08",2,-1074430.37345237,2355430.18500082
"94",94,"Wiggins2","2015-03-07 12:00:11",2,-1074422.09057062,2355431.2646336
"95",95,"Wiggins2","2015-03-07 13:00:30",2,-1074485.03437047,2355503.32599756
"96",96,"Wiggins2","2015-03-07 14:00:49",2,-1074510.98039561,2355492.35161555
"97",97,"Wiggins2","2015-03-07 15:00:03",2,-1074511.13718634,2355491.24651195
"98",98,"Wiggins2","2015-03-07 16:00:11",2,-1074448.16695061,2355476.67590172
"99",99,"Wiggins2","2015-03-07 17:00:11",2,-1073913.10311505,2355466.17106135
"100",100,"Wiggins2","2015-03-07 18:00:29",2,-1073612.52298031,2355235.29090538
"101",101,"Wiggins2","2015-03-07 19:00:11",2,-1073544.0068792,2354973.05629642
"102",102,"Wiggins2","2015-03-07 20:00:10",2,-1073552.44661892,2354970.8705589
"103",103,"Wiggins2","2015-03-07 21:00:30",2,-1073551.97668699,2354974.18595215
"104",104,"Wiggins2","2015-03-07 22:00:11",2,-1073552.13333096,2354973.08082109
"105",105,"Wiggins2","2015-03-07 23:00:30",2,-1073544.63345046,2354968.63577139
"106",106,"Wiggins2","2015-03-08 00:00:11",2,-1073569.32611579,2354966.49911147
"107",107,"Wiggins2","2015-03-08 01:00:04",2,-1073621.84458632,2354940.12342559
"108",108,"Wiggins2","2015-03-08 02:00:30",2,-1073515.47266527,2354772.85561697
"109",109,"Wiggins2","2015-03-08 03:00:11",2,-1073515.94257072,2354769.54020972
"110",110,"Wiggins2","2015-03-08 04:00:30",2,-1073515.62930042,2354771.75048124
"111",111,"Wiggins2","2015-03-08 05:00:18",2,-1073508.12918158,2354767.30545596
"112",112,"Wiggins2","2015-03-08 06:00:30",2,-1073482.04436001,2354721.89699975
"113",113,"Wiggins2","2015-03-08 07:00:11",2,-1073326.87196593,2355185.78524248
"114",114,"Wiggins2","2015-03-08 08:00:12",2,-1072914.800289,2355110.4894882
"115",115,"Wiggins2","2015-03-08 09:00:30",2,-1072785.40707965,2355105.68843724
"116",116,"Wiggins2","2015-03-08 10:00:19",2,-1072721.18010982,2355099.97330948
"117",117,"Wiggins2","2015-03-08 11:00:30",2,-1072673.83159982,2355089.88531302
"118",118,"Wiggins2","2015-03-08 12:00:18",2,-1072673.51855958,2355092.09560182
"119",119,"Wiggins2","2015-03-08 13:00:27",2,-1072665.70539482,2355089.86172591
"120",120,"Wiggins2","2015-03-08 14:00:10",2,-1072665.10235707,2355668.08520178
"121",121,"Wiggins2","2015-03-08 15:00:03",2,-1072935.91893543,2356166.38897098
"122",122,"Wiggins2","2015-03-08 16:00:02",2,-1072935.1191194,2356229.40456947
"123",123,"Wiggins2","2015-03-08 17:00:05",2,-1072934.17965189,2356236.03527117
"124",124,"Wiggins2","2015-03-08 18:00:19",2,-1072782.82535562,2356042.11541922
"125",125,"Wiggins2","2015-03-08 19:00:44",2,-1072684.88235362,2355930.1663177
"126",126,"Wiggins2","2015-03-08 20:00:09",2,-1072705.3448685,2355957.86538634
"127",127,"Wiggins2","2015-03-08 21:00:11",2,-1072945.27971268,2356215.06194681
"128",128,"Wiggins2","2015-03-08 22:00:19",2,-1072958.88510575,2356176.40674992
"129",129,"Wiggins2","2015-03-08 23:00:18",2,-1072950.13366692,2356180.80330707
"130",130,"Wiggins2","2015-03-09 00:00:19",2,-1072950.13366692,2356180.80330707
"131",131,"Wiggins2","2015-03-09 01:00:10",2,-1072950.29024614,2356179.69818935
"132",132,"Wiggins2","2015-03-09 02:00:10",2,-1073263.84268386,2356318.82458906
"133",133,"Wiggins2","2015-03-09 03:00:28",2,-1073485.41761717,2356705.33428763
"134",134,"Wiggins2","2015-03-09 04:00:27",2,-1073151.44584518,2356939.82053933
"135",135,"Wiggins2","2015-03-09 05:00:10",2,-1073108.65106106,2356897.6820519
"136",136,"Wiggins2","2015-03-09 06:00:19",2,-1073108.65106106,2356897.6820519
"137",137,"Wiggins2","2015-03-09 07:00:10",2,-1072919.56132481,2357027.58010891
"138",138,"Wiggins2","2015-03-09 08:00:19",2,-1072739.19328653,2357268.06364043
"139",139,"Wiggins2","2015-03-09 09:00:09",2,-1072738.88014982,2357270.27383984
"140",140,"Wiggins2","2015-03-09 10:00:10",2,-1072738.25387642,2357274.69423843
"141",141,"Wiggins2","2015-03-09 11:00:30",2,-1072574.36610353,2357284.16781783
"142",142,"Wiggins2","2015-03-09 12:00:18",2,-1072216.51682156,2357630.28291447
"143",143,"Wiggins2","2015-03-09 13:00:25",2,-1072083.56763117,2357650.910556
"144",144,"Wiggins2","2015-03-09 14:00:10",2,-1072137.75760508,2357727.34695491
"145",145,"Wiggins2","2015-03-09 15:00:19",2,-1072137.13164395,2357731.76735976
"146",146,"Wiggins2","2015-03-09 16:00:10",2,-1072145.56802318,2357729.58023197
"147",147,"Wiggins2","2015-03-09 17:00:09",2,-1072131.81097611,2357769.34078857
"148",148,"Wiggins2","2015-03-09 18:00:26",2,-1072213.07382543,2357654.59514925
"149",149,"Wiggins2","2015-03-09 19:00:09",2,-1072441.81624811,2357531.42892788
